Genres,average_playtime,success,game_count
Action,144.01663446190037,1581.9314458539864,11903
Adventure,151.6566985645933,869.7240829346092,10032
Animation & Modeling,88.13924050632912,1126.9493670886077,79
Audio Production,2.2413793103448274,47.48275862068966,29
Casual,85.07375122428991,273.9059745347698,10210
Design & Illustration,112.22988505747126,880.7126436781609,87
Early Access,81.30094786729858,388.052471225457,2954
Education,42.96078431372549,72.76470588235294,51
Free to Play,554.4377934272301,4346.627347417841,1704
Gore,47.64804469273743,323.6815642458101,537
Indie,112.83610524689769,540.1722362391226,19421
Massively Multiplayer,725.4840940525588,3468.1120331950206,723
Nudity,99.97368421052632,822.218045112782,266
RPG,276.9858501507771,1346.5768963117607,4311
Racing,142.220703125,663.78515625,1024
Sexual Content,84.39591836734694,571.9755102040816,245
Simulation,154.24085483249902,819.659607239122,5194
Software Training,9.741935483870968,98.6774193548387,31
Sports,115.51815431164901,519.4773071104387,1322
Strategy,193.13016962073567,863.9925671812464,5247
Utilities,112.56164383561644,592.4041095890411,146
Video Production,26.973684210526315,542.7105263157895,38
Violent,48.144721233689204,294.76393831553975,843
Web Publishing,136.21428571428572,338.89285714285717,28
