developer,success,total_reviews,average_playtime,review_score,num_games
Valve,86672.11538461539,95159.88461538461,2663.5384615384614,0.8907786049931369,26
Bethesda Game Studios,47296.9,56177.4,2001.8,0.8277125119576725,10
Tripwire Interactive,28663.0,31387.2,1059.6,0.85145477857548,5
Klei Entertainment,19098.0,20019.571428571428,621.7142857142857,0.8956746603777593,7
Ubisoft Montreal,19070.157894736843,23274.473684210527,1027.3684210526317,0.7859455011876879,19
Obsidian Entertainment,18309.14285714286,19555.714285714286,1331.4285714285713,0.8448667762713047,7
SCS Software,17348.333333333332,18161.25,648.5,0.7647417465662651,12
Bohemia Interactive,15939.8125,22225.1875,2260.1875,0.6578440891340811,16
Avalanche Studios,14870.666666666666,18750.166666666668,735.1666666666666,0.7403288747095643,6
Arkane Studios,12659.0,14036.285714285714,591.4285714285714,0.8066152874347657,7
Paradox Development Studio,11704.0,14009.076923076924,2379.6153846153848,0.77017685276168,13
Frontier Developments,11659.4,15250.2,1363.0,0.7966852827778359,5
Trion Worlds,11431.666666666666,14883.833333333334,1496.0,0.7351633633042134,6
"CAPCOM Co., Ltd.",11089.866666666667,14160.8,853.4,0.8484461711101414,15
11 bit studios,10705.142857142857,11649.0,358.7142857142857,0.8433713883281971,7
Larian Studios,9933.833333333334,10744.0,1248.3333333333333,0.804505875746584,6
Techland,9592.888888888889,10600.111111111111,575.3333333333334,0.7648965856740209,9
CREATIVE ASSEMBLY,9050.0,12445.166666666666,1514.0,0.7222739399469756,6
Crytek,8704.2,11043.4,309.4,0.7568150437741772,5
Remedy Entertainment,8648.2,9881.6,226.4,0.8603520567683782,5
Croteam,8588.4,9349.2,227.0,0.9170251809504497,5
NEKO WORKs,7822.5,8166.333333333333,344.1666666666667,0.9584190438191866,6
Konami Digital Entertainment,7281.0,8952.0,803.7142857142857,0.6087110531314851,7
id Software,7041.5,8150.0,310.77777777777777,0.8569552233614031,18
Scott Cawthon,7020.625,7743.625,2801.625,0.9110997188886296,8
Flying Wild Hog,6586.8,7321.6,320.4,0.8762065202174874,5
AMPLITUDE Studios,6277.6,7589.0,814.6,0.8591758680529187,5
BioWare,5981.833333333333,6383.5,741.0,0.8899263300981324,6
Landfall,5879.0,7071.2,201.2,0.8325559122598103,5
Hyper Hippo Games,5635.142857142857,6511.857142857143,460.2857142857143,0.7544460975167407,7
Capcom,5470.5,7041.785714285715,586.3571428571429,0.7718844634854257,14
Fatshark,5446.857142857143,7203.0,555.7142857142857,0.6749437672200786,7
Introversion Software,5383.0,5848.142857142857,276.42857142857144,0.7923616769142262,7
Harebrained Schemes,5030.6,6262.8,577.8,0.8065303425632679,5
Ubisoft,4920.384615384615,6801.153846153846,472.84615384615387,0.765793306841092,13
Giants Software,4545.714285714285,5166.428571428572,1164.0,0.8467822649756805,7
Telltale Games,4196.461538461538,4668.615384615385,283.2307692307692,0.7922936456178687,13
Rebellion,4177.0,4971.666666666667,224.5,0.8267596492648347,12
Funcom,4079.5,5765.75,667.0,0.7731136135506599,8
Frozenbyte,4061.0,4563.375,324.125,0.7755701074758,8
Piranha Bytes,3878.0,4845.571428571428,932.5714285714286,0.8080070859867744,7
Bloober Team SA,3418.4,3883.4,125.2,0.6460866918297284,5
BANDAI NAMCO Studios Inc.,3202.25,3768.5,1023.875,0.7958580736846739,8
Haemimont Games,3126.5555555555557,3870.222222222222,503.0,0.7766635564882693,9
Square Enix,3123.92,3940.48,1842.08,0.7187063002420818,25
Double Fine Productions,3026.0,3582.3571428571427,194.42857142857142,0.8074310615452512,14
Gearbox Software,2992.4285714285716,3949.0,378.57142857142856,0.8198915264915295,7
GSC Game World,2783.25,3128.0833333333335,416.5833333333333,0.7683958689036051,12
SEGA,2649.090909090909,3030.3636363636365,435.09090909090907,0.8520120130446358,11
Awesome Games Studio,2633.4,3070.6,133.0,0.8475627648184461,5
Relic Entertainment,2630.125,2812.75,556.625,0.9269185391392417,8
Slightly Mad Studios,2620.3333333333335,3623.8333333333335,2991.3333333333335,0.6652540490009234,6
Eugen Systems,2549.8571428571427,3155.1428571428573,820.4285714285714,0.7873774937112004,7
Amanita Design,2508.2,2704.6,198.8,0.8878807963750344,5
Bossa Studios,2385.625,3010.0,163.0,0.7977917041212799,8
Gas Powered Games,2321.0,2686.1666666666665,679.0,0.8112652168525747,6
The Farm 51,2258.6666666666665,3385.8333333333335,111.0,0.7138100039513019,6
FireFly Studios,2231.0,3275.375,319.375,0.7224082929437263,8
Eko Software,2175.8888888888887,2827.4444444444443,143.88888888888889,0.6124313018088793,9
Ninja Kiwi,2169.5,2566.5,752.0,0.764667574686403,6
"PopCap Games, Inc.",2053.7,2137.9,128.4,0.8988280431668224,10
City Interactive,1957.0,2905.8,74.4,0.7046998821904468,5
Beamdog,1911.6,2226.0,445.6,0.8592846901713636,5
EA Los Angeles,1884.0,2510.8333333333335,257.5,0.7377870830538559,6
Nadeo,1872.875,2226.125,3204.875,0.7917825529720752,8
Realmforge Studios,1846.4285714285713,2174.714285714286,147.28571428571428,0.6147135580561444,7
Might and Delight,1723.7142857142858,2041.5714285714287,101.28571428571429,0.8078107714367072,7
"Epic Games, Inc.",1645.4,1773.6,454.0,0.8894020373476741,5
Traveller's Tales,1622.75,1841.625,1079.5,0.8103405068023439,8
Petroglyph,1618.7142857142858,1943.0,120.85714285714286,0.7574097376578468,7
Milkstone Studios,1618.0,1883.8333333333333,140.33333333333334,0.8117088995104077,6
HFM Games,1586.5714285714287,2038.7142857142858,150.71428571428572,0.7292134786359326,7
inXile Entertainment,1523.2857142857142,1983.0,552.1428571428571,0.7464591221561887,7
Daedalic Entertainment,1519.1052631578948,1779.7368421052631,157.42105263157896,0.8437052456767428,19
Orange_Juice,1509.75,1637.625,428.5,0.8747887446952932,8
ACE Team,1505.3333333333333,1862.3333333333333,225.16666666666666,0.8032592218137452,6
Microblast Games,1487.3333333333333,2413.0,238.83333333333334,0.6821182238094349,6
Tamsoft,1410.0,1605.1666666666667,550.8333333333334,0.8274924291284526,6
David Szymanski,1396.6,1602.4,70.4,0.826121476019518,5
Hanako Games,1379.6,1467.2,204.0,0.9221943873751288,5
Zachtronics,1373.888888888889,1461.888888888889,354.6666666666667,0.9323434510184021,9
Sports Interactive,1373.1666666666667,1990.8333333333333,4077.3333333333335,0.6824011717933081,6
Targem Games,1316.1666666666667,1916.3333333333333,129.58333333333334,0.7019340776333453,12
NeocoreGames,1261.6,1749.2,211.8,0.6431619351069172,10
Winged Cloud,1253.3809523809523,1508.3333333333333,392.6666666666667,0.8198706466542647,21
Quiet River,1158.6190476190477,1259.8095238095239,110.0952380952381,0.8810022761447223,21
Team17 Digital Ltd,1153.75,1407.4375,183.5625,0.7077883427720681,16
Two Tribes,1142.2,1285.4,74.2,0.8804907905684015,5
Vertigo Gaming Inc.,1142.0,1236.4,106.8,0.9073051150175981,5
"Spike Chunsoft Co., Ltd.",1138.8,1456.2,724.7,0.8176684649265402,10
Firaxis Games,1103.5555555555557,1356.888888888889,220.88888888888889,0.7846697830526145,9
Egosoft,1102.625,1892.0,726.625,0.6980347438952805,8
Arc System Works,1085.2173913043478,1285.304347826087,518.695652173913,0.751770650773426,23
Dieselmine,1078.9,1205.7,61.6,0.7188221869139892,10
Stardock Entertainment,1042.888888888889,1389.2222222222222,205.33333333333334,0.7043643455621934,9
Crystal Dynamics,1040.875,1308.75,219.5,0.7713679569274292,8
Cyanide Studios,1032.3333333333333,1474.1666666666667,518.1666666666666,0.6422777461141561,6
Nickervision Studios,1008.75,1035.875,28.0,0.966525259049474,8
Zeboyd Games,992.8,1108.6,195.8,0.8709808876508245,5
VaragtP,971.6666666666666,1166.8333333333333,182.5,0.816741226561256,6
Positech Games,963.0,1287.142857142857,361.2857142857143,0.6498644613109817,7
Codemasters,956.1666666666666,1362.6666666666667,985.5,0.5898087372812006,6
Gaijin Games,936.5714285714286,1082.857142857143,40.57142857142857,0.7268898756814395,7
Minor Key Games,917.375,1011.0,1702.5,0.8140762231327,8
Digital Melody,895.8571428571429,986.7142857142857,131.85714285714286,0.7819834683156973,7
Nihon Falcom,881.4375,965.375,468.4375,0.9141840025202247,16
Matthew Brown,872.0,921.1111111111111,237.11111111111111,0.8883075695538984,9
Reality Pump Studios,866.375,1351.25,266.625,0.5858112694458143,8
SNK CORPORATION;DotEmu,816.0,917.8888888888889,192.77777777777777,0.7523097622165377,9
Nival,797.1538461538462,1164.8461538461538,638.8461538461538,0.7477616754215789,13
Vile Monarch,795.8,888.2,153.6,0.8619839913437088,5
Home Net Games,783.8,987.8,138.4,0.750831416270401,5
DotEmu,780.7777777777778,1079.5555555555557,262.0,0.7698039230657283,9
Pyro Studios,776.0,952.1666666666666,60.5,0.7907633582770482,6
Fabio Ferrara,773.4285714285714,1144.4285714285713,194.57142857142858,0.7074927776637542,7
VisualArts/Key,763.2857142857143,781.0,108.0,0.9672629845485039,7
"INTI CREATES CO., LTD.",743.3333333333334,827.6666666666666,133.66666666666666,0.8761066968816481,6
LucasArts,737.3809523809524,825.4285714285714,152.8095238095238,0.8185419757471721,21
Deck13,734.0,987.2,92.2,0.7411646083389065,5
Raven Software,732.4,800.6,41.6,0.8641771929779998,5
Digital Leisure Inc.,725.8,1016.6,79.0,0.7886028328559738,5
WayForward,722.8181818181819,815.2727272727273,163.0909090909091,0.8845277095868724,11
Eforb,714.0,1303.6,2126.6,0.6542919122008908,5
Jetdogs Studios;Zoom Out Games,688.0,755.5,1096.375,0.906785991840538,8
Gamious,686.2,770.0,111.2,0.8746739633731611,5
Alientrap,685.1428571428571,818.8571428571429,204.28571428571428,0.7867753640785821,7
Fakt Software,676.4,731.8,36.8,0.707382341467306,5
Silent Dreams,665.0,860.4,136.0,0.5717384777548695,5
